race_id,date,start,race_name,horse_id,horse_name,program_num,rank,market_odds,is_win
18775,2025-12-31,13:30,PRÓBAFUTAM,7113,Gombóc Artúr,1,1.,,1
18774,2025-12-31,13:15,Q41 KVALIFIKÁCIÓ,7419,Habibi,1,1.,,1
18774,2025-12-31,13:15,Q41 KVALIFIKÁCIÓ,7344,Highland Fling,2,gal.,,0
18776,2025-12-31,14:00,NYEREGBE! DÍJ,7144,Giadaz,5,I.,2.9,0
18776,2025-12-31,14:00,NYEREGBE! DÍJ,7480,Mon Cherie C.G.,7,II.,9.7,0
18776,2025-12-31,14:00,NYEREGBE! DÍJ,7192,Grófnő R.,3,III.,4.0,0
18776,2025-12-31,14:00,NYEREGBE! DÍJ,7371,Tequila,6,IV.,2.5,0
18776,2025-12-31,14:00,NYEREGBE! DÍJ,7125,Florenza,4,V.,19.1,0
18776,2025-12-31,14:00,NYEREGBE! DÍJ,7242,Golden Rose OZ,2,6.,17.3,0
18776,2025-12-31,14:00,NYEREGBE! DÍJ,7325,Great Fille,1,7táv.,38.3,0
18776,2025-12-31,14:00,NYEREGBE! DÍJ,7086,Fakta,8,tü.,31.6,0
18776,2025-12-31,14:00,NYEREGBE! DÍJ,7358,Fiona May,9,gal.,4.7,0
18785,2025-12-31,14:30,"PINTÉR TAMÁS ""OROSZLÁN"" EMLÉKVERSENY HENDIKEP",6340,Cunami,5,I.,9.2,0
18785,2025-12-31,14:30,"PINTÉR TAMÁS ""OROSZLÁN"" EMLÉKVERSENY HENDIKEP",6308,Csábító R.,8,II.,4.8,0
18785,2025-12-31,14:30,"PINTÉR TAMÁS ""OROSZLÁN"" EMLÉKVERSENY HENDIKEP",6700,Escobar,1,III.,2.3,0
18785,2025-12-31,14:30,"PINTÉR TAMÁS ""OROSZLÁN"" EMLÉKVERSENY HENDIKEP",7173,Jula Netprice,9,IV.,3.0,0
18785,2025-12-31,14:30,"PINTÉR TAMÁS ""OROSZLÁN"" EMLÉKVERSENY HENDIKEP",7136,First Home,7,V.,8.7,0
18785,2025-12-31,14:30,"PINTÉR TAMÁS ""OROSZLÁN"" EMLÉKVERSENY HENDIKEP",6310,Compact Boy,6,6.,22.3,0
18785,2025-12-31,14:30,"PINTÉR TAMÁS ""OROSZLÁN"" EMLÉKVERSENY HENDIKEP",6617,Diófás,3,7.,8.2,0
18785,2025-12-31,14:30,"PINTÉR TAMÁS ""OROSZLÁN"" EMLÉKVERSENY HENDIKEP",5905,Adamo Fling,4,8.,31.9,0
18785,2025-12-31,14:30,"PINTÉR TAMÁS ""OROSZLÁN"" EMLÉKVERSENY HENDIKEP",6704,Emerald,10,9.,33.0,0
18785,2025-12-31,14:30,"PINTÉR TAMÁS ""OROSZLÁN"" EMLÉKVERSENY HENDIKEP",6018,Bonus RG,2,gal.,20.3,0
18782,2025-12-31,16:04,KINCSEM+ TUTI - ZENTHE FERENC EMLÉKVERSENY HENDIKEP,6021,Anna,8,I.,3.6,0
18782,2025-12-31,16:04,KINCSEM+ TUTI - ZENTHE FERENC EMLÉKVERSENY HENDIKEP,5288,Usain,5,II.,16.4,0
18782,2025-12-31,16:04,KINCSEM+ TUTI - ZENTHE FERENC EMLÉKVERSENY HENDIKEP,5960,Ann Bella M,6,III.,7.9,0
18782,2025-12-31,16:04,KINCSEM+ TUTI - ZENTHE FERENC EMLÉKVERSENY HENDIKEP,6435,Ducks,9,IV.,2.5,0
18782,2025-12-31,16:04,KINCSEM+ TUTI - ZENTHE FERENC EMLÉKVERSENY HENDIKEP,6438,Danny DeVito,3,V.,4.0,0
18782,2025-12-31,16:04,KINCSEM+ TUTI - ZENTHE FERENC EMLÉKVERSENY HENDIKEP,5247,Universal Boy,1,VI.,16.9,0
18782,2025-12-31,16:04,KINCSEM+ TUTI - ZENTHE FERENC EMLÉKVERSENY HENDIKEP,6153,Bing Crosby AT,2,7.,18.6,0
18782,2025-12-31,16:04,KINCSEM+ TUTI - ZENTHE FERENC EMLÉKVERSENY HENDIKEP,6679,Inforgettable,7,gal.,3.9,0
18779,2025-12-31,15:36,ENERGY BOOST DÍJ,6864,In Love Danover,7,I.,7.4,0
18779,2025-12-31,15:36,ENERGY BOOST DÍJ,7171,Peter Piper,6,II.,9.3,0
18779,2025-12-31,15:36,ENERGY BOOST DÍJ,7001,Fárosz,8,III.,8.2,0
18779,2025-12-31,15:36,ENERGY BOOST DÍJ,6898,Euzébió,3,IV.,2.3,0
18779,2025-12-31,15:36,ENERGY BOOST DÍJ,7363,Flying Dancer,1,V.,12.0,0
