team_id,team_name
12426,Passion UA
12833,TNL
11419,ECSTATIC
4863,TYLOO
7969,Nemiga
12394,BetBoom
10503,OG
11241,B8
6673,NRG
12878,BC.Game
10567,SAW
4773,paiN
12916,Betclic
11514,Rare Atom
12468,Legacy
9928,GamerLegion
7532,BIG
9455,Imperial
12312,ATOX
7176,RED Canids
5378,Virtus.pro
5005,Complexity
12376,M80
4869,ENCE
9881,Rooster
4991,fnatic
6665,Astralis
12257,Wildcard
4914,3DMAX
12591,KOI
9215,MIBR
9996,9z
7175,HEROIC
4411,Ninjas in Pyjamas
10333,Sangal
8840,Lynn Vision
12774,FlyQuest
11251,Eternal Fire
11861,Aurora
4608,Natus Vincere
11283,Falcons
8297,FURIA
6667,FaZe
7020,Spirit
5995,G2
4494,MOUZ
6248,The MongolZ
9565,Vitality
5973,Liquid
9565,Vitality
4494,MOUZ
